GO_ID	term	ontology	p_value	fold_enrichment	gene_count	genes	FDR
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	molecular_function	0.0663387547003793	14.620233463035019	1	AT4G33240	0.2218916967564411
GO:0030619	U1 snRNA binding	molecular_function	0.0663387547003793	14.620233463035019	1	AT3G50670	0.2218916967564411
GO:1905421	regulation of plant organ morphogenesis	biological_process	0.0663387547003793	14.620233463035019	1	AT1G09530	0.2218916967564411
GO:0010029	regulation of seed germination	biological_process	0.0693414561717366	4.641343956519054	2	AT3G11240,AT4G21750	0.22610496239911554
GO:0000938	GARP complex	cellular_component	0.07272654460672583	13.291121330031837	1	AT1G50970	0.22610496239911554
GO:0043436	oxoacid metabolic process	biological_process	0.07272654460672583	13.291121330031837	1	AT2G27150	0.22610496239911554
GO:0008878	glucose-1-phosphate adenylyltransferase activity	molecular_function	0.07272654460672583	13.291121330031837	1	AT2G21590	0.22610496239911554
GO:0048528	post-embryonic root development	biological_process	0.07272654460672583	13.291121330031837	1	AT2G17780	0.22610496239911554
GO:0009533	chloroplast stromal thylakoid	cellular_component	0.07272654460672583	13.291121330031837	1	AT2G45870	0.22610496239911554
GO:0046470	phosphatidylcholine metabolic process	biological_process	0.07272654460672583	13.291121330031837	1	AT4G11830	0.22610496239911554
GO:0006308	DNA catabolic process	biological_process	0.07272654460672583	13.291121330031837	1	AT4G21585	0.22610496239911554
GO:0009011	alpha-1,4-glucan glucosyltransferase (ADP-glucose donor) activity	molecular_function	0.07272654460672583	13.291121330031837	1	AT5G65685	0.22610496239911554
GO:0030091	protein repair	biological_process	0.07272654460672583	13.291121330031837	1	AT5G50240	0.22610496239911554
GO:0080054	low-affinity nitrate transmembrane transporter activity	molecular_function	0.07272654460672583	13.291121330031837	1	AT1G72130	0.22610496239911554
GO:0010104	regulation of ethylene-activated signaling pathway	biological_process	0.07907080033805906	12.183527885862516	1	AT4G20380	0.22963675547280626
GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity	molecular_function	0.07907080033805906	12.183527885862516	1	AT5G64000	0.22963675547280626
GO:0044209	AMP salvage	biological_process	0.07907080033805906	12.183527885862516	1	AT5G11160	0.22963675547280626
GO:0016441	post-transcriptional gene silencing	biological_process	0.07907080033805906	12.183527885862516	1	AT3G49500	0.22963675547280626
GO:0006474	N-terminal protein amino acid acetylation	biological_process	0.07907080033805906	12.183527885862516	1	AT2G06025	0.22963675547280626
GO:0052793	pectin acetylesterase activity	molecular_function	0.07907080033805906	12.183527885862516	1	AT5G23870	0.22963675547280626
GO:0010467	gene expression	biological_process	0.07907080033805906	12.183527885862516	1	AT3G22470	0.22963675547280626
GO:0050136	NADH dehydrogenase (quinone) (non-electrogenic) activity	molecular_function	0.07907080033805906	12.183527885862516	1	AT4G27270	0.22963675547280626
GO:0031053	primary miRNA processing	biological_process	0.07907080033805906	12.183527885862516	1	AT4G25500	0.22963675547280626
GO:0009616	RNAi-mediated antiviral immune response	biological_process	0.07907080033805906	12.183527885862516	1	AT3G49500	0.22963675547280626
GO:0003968	RNA-directed RNA polymerase activity	molecular_function	0.07907080033805906	12.183527885862516	1	AT3G49500	0.22963675547280626
GO:0006415	translational termination	biological_process	0.08537181743813678	11.246333433103862	1	AT2G47020	0.23933717605489213
