sample_name	study_id	condition	is_flight	UMAP1	UMAP2	cluster
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4_GLbulkRNAseq	OSD-37	ground_control	0	-3.1343668	-1.5298359	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5_GLbulkRNAseq	OSD-37	ground_control	0	-3.334192	-2.5941708	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1_GLbulkRNAseq	OSD-37	ground_control	0	-3.0427895	-1.4203035	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2_GLbulkRNAseq	OSD-37	ground_control	0	-2.0845025	-2.690201	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3_GLbulkRNAseq	OSD-37	ground_control	0	-2.9900022	-2.948847	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4_GLbulkRNAseq	OSD-37	ground_control	0	-3.7295377	-1.6863625	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5_GLbulkRNAseq	OSD-37	ground_control	0	-2.334799	-1.8923335	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1_GLbulkRNAseq	OSD-37	flight	1	-1.9484752	-1.224993	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4_GLbulkRNAseq	OSD-37	flight	1	-2.4451132	-0.8610884	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1_GLbulkRNAseq	OSD-37	flight	1	-2.1787834	-1.3425252	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4_GLbulkRNAseq	OSD-37	flight	1	-2.0261679	-1.0111375	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1_GLbulkRNAseq	OSD-37	ground_control	0	-2.1100142	-0.7627676	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4_GLbulkRNAseq	OSD-37	ground_control	0	-1.7309123	-0.7584824	1
