sample_name	study_id	is_flight	UMAP1	UMAP2	cluster
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1_GLbulkRNAseq	OSD-37	0	-18.577728	10.443594	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2_GLbulkRNAseq	OSD-37	0	-18.201242	11.591647	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3_GLbulkRNAseq	OSD-37	0	-17.961939	10.8972025	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4_GLbulkRNAseq	OSD-37	0	-18.712135	11.20359	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5_GLbulkRNAseq	OSD-37	0	-17.608353	10.570802	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1_GLbulkRNAseq	OSD-37	1	-17.79862	10.361704	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4_GLbulkRNAseq	OSD-37	1	-17.378021	11.199332	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1_GLbulkRNAseq	OSD-37	1	-17.583992	10.988832	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4_GLbulkRNAseq	OSD-37	1	-17.983406	11.627051	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1_GLbulkRNAseq	OSD-37	0	-17.298033	10.948156	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4_GLbulkRNAseq	OSD-37	0	-17.781412	11.421028	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1_GLbulkRNAseq	OSD-37	0	-18.096256	11.513835	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4_GLbulkRNAseq	OSD-37	0	-17.700136	10.255694	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1_GLbulkRNAseq	OSD-37	1	-17.321056	11.06498	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4_GLbulkRNAseq	OSD-37	1	-18.801952	10.497698	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1_GLbulkRNAseq	OSD-37	1	-18.87573	11.01738	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4_GLbulkRNAseq	OSD-37	1	-18.232939	11.445733	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1_GLbulkRNAseq	OSD-37	0	-18.723871	10.959896	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4_GLbulkRNAseq	OSD-37	0	-18.658644	10.237938	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1_GLbulkRNAseq	OSD-37	0	-18.19922	10.167503	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4_GLbulkRNAseq	OSD-37	0	-18.688528	10.638047	0
GLDS-612_rna_seq_Flight_Col-0_Dark_bio_rep1_GLbulkRNAseq	OSD-678	1	5.616193	-9.828254	1
GLDS-612_rna_seq_Flight_Col-0_Dark_bio_rep2_GLbulkRNAseq	OSD-678	1	5.6540937	-10.105227	1
GLDS-612_rna_seq_Flight_Col-0_Dark_bio_rep3_GLbulkRNAseq	OSD-678	1	5.7117996	-10.02387	1
GLDS-612_rna_seq_Flight_Col-0_Light_bio_rep1_GLbulkRNAseq	OSD-678	1	5.4834876	-9.946739	1
GLDS-612_rna_seq_Flight_Col-0_Light_bio_rep2_GLbulkRNAseq	OSD-678	1	5.589955	-9.716914	1
GLDS-612_rna_seq_Flight_Col-0_Light_bio_rep3_GLbulkRNAseq	OSD-678	1	5.422485	-9.972574	1
GLDS-612_rna_seq_Flight_phyD_Dark_bio_rep1_GLbulkRNAseq	OSD-678	1	5.208941	-9.718887	1
GLDS-612_rna_seq_Flight_phyD_Dark_bio_rep2_GLbulkRNAseq	OSD-678	1	5.805037	-9.844545	1
GLDS-612_rna_seq_Flight_phyD_Dark_bio_rep3_GLbulkRNAseq	OSD-678	1	5.266952	-9.9166975	1
GLDS-612_rna_seq_Flight_phyD_Light_bio_rep1_GLbulkRNAseq	OSD-678	1	5.619036	-9.8340845	1
GLDS-612_rna_seq_Flight_phyD_Light_bio_rep2_GLbulkRNAseq	OSD-678	1	5.579512	-10.132366	1
