sample_name	study_id	condition	is_flight
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep3_GSM2493767_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep1_GSM2493768_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep2_GSM2493769_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep3_GSM2493770_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep1_GSM2493771_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep2_GSM2493772_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep3_GSM2493773_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep1_GSM2493774_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep2_GSM2493775_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep3_GSM2493776_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep1_GSM2493780_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep1_GSM2493786_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep1_GSM2493789_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep2_GSM2493790_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep3_GSM2493791_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794_Day13_GLbulkRNAseq	OSD-120	flight	1
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4_GLbulkRNAseq	OSD-37	flight	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4_GLbulkRNAseq	OSD-37	ground_control	0
GLDS-612_rna_seq_Flight_Col-0_Dark_bio_rep1_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Col-0_Dark_bio_rep2_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Col-0_Dark_bio_rep3_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Col-0_Light_bio_rep1_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Col-0_Light_bio_rep2_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Col-0_Light_bio_rep3_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_phyD_Dark_bio_rep1_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_phyD_Dark_bio_rep2_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_phyD_Dark_bio_rep3_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_phyD_Light_bio_rep1_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_phyD_Light_bio_rep2_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_phyD_Light_bio_rep3_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Ws_Dark_bio_rep1_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Ws_Dark_bio_rep2_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Ws_Dark_bio_rep3_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Ws_Light_bio_rep1_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Ws_Light_bio_rep2_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Flight_Ws_Light_bio_rep3_GLbulkRNAseq	OSD-678	flight	1
GLDS-612_rna_seq_Ground_control_Col-0_Dark_bio_rep1_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Col-0_Dark_bio_rep2_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Col-0_Dark_bio_rep3_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Col-0_Light_bio_rep1_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Col-0_Light_bio_rep2_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Col-0_Light_bio_rep3_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_phyD_Dark_bio_rep1_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_phyD_Dark_bio_rep2_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_phyD_Dark_bio_rep3_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_phyD_Light_bio_rep1_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_phyD_Light_bio_rep2_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_phyD_Light_bio_rep3_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Ws_Dark_bio_rep1_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Ws_Dark_bio_rep2_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Ws_Dark_bio_rep3_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Ws_Light_bio_rep1_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Ws_Light_bio_rep2_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-612_rna_seq_Ground_control_Ws_Light_bio_rep3_GLbulkRNAseq	OSD-678	ground_control	0
GLDS-603_rna_seq_CWRU004177_S4_Aligned.sortedByCoord_sorted.out	OSD-658	irradiated	1
GLDS-603_rna_seq_CWRU004178_S5_Aligned.sortedByCoord_sorted.out	OSD-658	irradiated	1
GLDS-603_rna_seq_CWRU004179_S6_Aligned.sortedByCoord_sorted.out	OSD-658	irradiated	1
GLDS-603_rna_seq_CWRU004180_S7_Aligned.sortedByCoord_sorted.out	OSD-658	irradiated	1
GLDS-603_rna_seq_CWRU004184_S11_Aligned.sortedByCoord_sorted.out	OSD-658	irradiated	1
GLDS-603_rna_seq_CWRU004185_S12_Aligned.sortedByCoord_sorted.out	OSD-658	irradiated	1
GLDS-603_rna_seq_CWRU004186_S13_Aligned.sortedByCoord_sorted.out	OSD-658	irradiated	1
GLDS-603_rna_seq_CWRU004187_S14_Aligned.sortedByCoord_sorted.out	OSD-658	irradiated	1
GLDS-603_rna_seq_CWRU004174_S1_Aligned.sortedByCoord_sorted.out	OSD-658	control	0
GLDS-603_rna_seq_CWRU004175_S2_Aligned.sortedByCoord_sorted.out	OSD-658	control	0
GLDS-603_rna_seq_CWRU004176_S3_Aligned.sortedByCoord_sorted.out	OSD-658	control	0
GLDS-603_rna_seq_CWRU004181_S8_Aligned.sortedByCoord_sorted.out	OSD-658	control	0
GLDS-603_rna_seq_CWRU004182_S9_Aligned.sortedByCoord_sorted.out	OSD-658	control	0
GLDS-603_rna_seq_CWRU004183_S10_Aligned.sortedByCoord_sorted.out	OSD-658	control	0
GLDS-476_rna_seq_GSM5691012_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691013_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691014_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691016_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691017_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691018_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691020_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691021_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691022_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691024_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691025_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691026_Aligned.sortedByCoord_sorted.out	OSD-476	apollo_regolith	1
GLDS-476_rna_seq_GSM5691011_Aligned.sortedByCoord_sorted.out	OSD-476	jsc1a_control	0
GLDS-476_rna_seq_GSM5691015_Aligned.sortedByCoord_sorted.out	OSD-476	jsc1a_control	0
GLDS-476_rna_seq_GSM5691019_Aligned.sortedByCoord_sorted.out	OSD-476	jsc1a_control	0
GLDS-476_rna_seq_GSM5691023_Aligned.sortedByCoord_sorted.out	OSD-476	jsc1a_control	0
GLDS-476_rna_seq_GSM5691027_Aligned.sortedByCoord_sorted.out	OSD-476	jsc1a_control	0
GLDS-476_rna_seq_GSM5691028_Aligned.sortedByCoord_sorted.out	OSD-476	jsc1a_control	0
GLDS-476_rna_seq_GSM5691029_Aligned.sortedByCoord_sorted.out	OSD-476	jsc1a_control	0
GLDS-476_rna_seq_GSM5691030_Aligned.sortedByCoord_sorted.out	OSD-476	jsc1a_control	0
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep1_Sample-131_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep2_Sample-136_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep3_Sample-139_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep1_Sample-135_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep2_Sample-151_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep3_Sample-156_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.36G_Rep1_Sample-154_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.36G_Rep2_Sample-160_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.36G_Rep3_Sample-211_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.57G_Rep1_Sample-171_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.57G_Rep2_Sample-176_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.57G_Rep3_Sample-214_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.57G_Rep4_Sample-231_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep1_Sample-111_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep2_Sample-114_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep3_Sample-116_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep4_Sample-120_Aligned.sortedByCoord.out	OSD-251	altered_gravity	1
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_1G_Rep1_Sample-175_Aligned.sortedByCoord.out	OSD-251	1g_control	0
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_1G_Rep2_Sample-179_Aligned.sortedByCoord.out	OSD-251	1g_control	0
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_1G_Rep3_Sample-235_Aligned.sortedByCoord.out	OSD-251	1g_control	0
